seed,query_id,variant,runtime_ms,mean_relevance,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_k,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,novelty
44,q2_photocatalysis,WeightedSum,8.299999976202344e-05,0.8607824444770813,0.8617095351219177,0.0,0.021135833114385605,6.784744432941636e-10,1.0,1.0,0.9983774423599243,0.7995497584342957,0.0,0.8500000238418579,1.0,0.10227654874324799
44,q2_photocatalysis,LEA,93.32449999999959,0.8607824444770813,0.8617095351219177,0.0,0.021135833114385605,6.784744432941636e-10,0.9999472812073708,1.0,0.9983774423599243,0.7995497584342957,0.0,0.8500000238418579,1.0,0.10227654874324799
44,q2_photocatalysis,GraphSAGE-only,0.023875000000117552,0.8523133993148804,0.8561800122261047,0.0,0.028147589415311813,5.823930226966922e-10,0.9864337784999998,1.0,1.0,0.6851683259010315,0.0,0.8500000238418579,1.0,0.026626121252775192
44,q2_photocatalysis,LEA + GraphSAGE,140.49779199999966,0.8584872484207153,0.8617095351219177,0.0,0.05270204693078995,6.479897174394011e-10,0.9965942372633466,1.0,1.0,0.7623408436775208,0.0,0.8500000238418579,1.0,0.06502591073513031
44,q2_photocatalysis,GAT-only,0.0209169999996206,0.8522798418998718,0.8535403609275818,0.0,0.011910664848983288,5.820363080388802e-10,0.986378778381609,1.0,1.0,0.684748649597168,0.0,0.8500000238418579,1.0,0.013852423056960106
44,q2_photocatalysis,LEA + GAT,93.39454100000033,0.8550230264663696,0.8600839972496033,0.0,0.0730547085404396,6.208032421461951e-10,0.9925785300354725,1.0,0.9974493980407715,0.7324286103248596,0.0,0.8500000238418579,1.0,0.046285588294267654
44,q3_lightweight_storage,SemanticOnly,0.00012500000057258376,0.6645897626876831,0.6676316261291504,0.0,0.013059747405350208,8.110560706798018e-19,0.9813410317954927,1.0,0.0,0.9541835784912109,0.0,0.8500000238418579,1.0,0.0489165298640728
44,q3_lightweight_storage,WeightedSum,0.00012499999968440534,0.6728970408439636,0.673728346824646,0.0,0.0023870705626904964,8.296381661529227e-19,1.0,1.0,0.0,0.9760449528694153,0.0,0.8500000238418579,1.0,0.056563057005405426
44,q3_lightweight_storage,LEA,103.22062500000051,0.6666736602783203,0.6707056164741516,0.0,0.6036683320999146,2.7711957728548953e-10,0.9899262904879197,1.0,0.3955061733722687,0.907627284526825,0.0,0.8500000238418579,1.0,0.4104507565498352
44,q3_lightweight_storage,GraphSAGE-only,0.08366700000017602,0.6674221754074097,0.673728346824646,0.0,0.015080046840012074,8.173917571840751e-19,0.9907759876728267,1.0,0.0,0.9616373181343079,0.0,0.8500000238418579,1.0,0.05095868557691574
44,q3_lightweight_storage,LEA + GraphSAGE,107.09545899999995,0.6679638624191284,0.673728346824646,0.0,0.6063567399978638,2.760502937348974e-10,0.9928714308440509,1.0,0.3958267569541931,0.910980224609375,0.0,0.8500000238418579,1.0,0.41327205300331116
44,q3_lightweight_storage,GAT-only,0.019958000000208642,0.6686331033706665,0.673728346824646,0.0,0.009156083688139915,8.201002050035152e-19,0.9931561495518243,1.0,0.0,0.9648239016532898,0.0,0.8500000238418579,1.0,0.05134965106844902
44,q3_lightweight_storage,LEA + GAT,90.70379200000022,0.6617172956466675,0.6699529886245728,0.0,0.6075097322463989,2.760502937348974e-10,0.982538002688303,1.0,0.3958267569541931,0.89454185962677,0.0,0.8500000238418579,1.0,0.41014933586120605
44,q4_balanced_discovery,SemanticOnly,8.39999998447638e-05,0.5711639523506165,0.5735496282577515,0.0,0.019355762749910355,1.473303562482542e-10,0.951039514791627,0.25,1.0,0.6933193206787109,0.0,0.8500000238418579,1.0,0.011424487456679344
44,q4_balanced_discovery,WeightedSum,0.00012499999968440534,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.711664976422611e-10,1.0,0.25,0.9929555654525757,0.8112602233886719,0.0,0.8500000238418579,1.0,0.11132273823022842
44,q4_balanced_discovery,LEA,105.81570799999973,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.711664976422611e-10,1.0,0.25,0.9929555654525757,0.8112602233886719,0.0,0.8500000238418579,1.0,0.11132273823022842
44,q4_balanced_discovery,GraphSAGE-only,0.022332999999541414,0.5695337057113647,0.5792001485824585,0.0,0.028147589415311813,1.4559825567417306e-10,0.9534264796676976,0.25,1.0,0.6851682662963867,0.0,0.8500000238418579,1.0,0.028461283072829247
44,q4_balanced_discovery,LEA + GraphSAGE,113.41970800000034,0.5912469625473022,0.5930240154266357,0.0,0.015866074711084366,1.6877030328821263e-10,0.9935982485456684,0.25,0.9974493980407715,0.7962850332260132,0.0,0.8500000238418579,1.0,0.09622260183095932
44,q4_balanced_discovery,GAT-only,0.02170899999942577,0.569449782371521,0.5726009607315063,0.0,0.011910664848983288,1.4550907700972004e-10,0.9493444694146347,0.25,1.0,0.684748649597168,0.0,0.8500000238418579,1.0,0.01616493985056877
44,q4_balanced_discovery,LEA + GAT,144.7602090000002,0.588718593120575,0.5966005325317383,0.0,0.05849311873316765,1.6614308540052747e-10,0.9915309790291864,0.25,0.9958267211914062,0.7852662205696106,0.0,0.8500000238418579,1.0,0.0856642872095108
44,q5_insulating_frameworks,SemanticOnly,0.00020799999944642877,0.8573349118232727,0.8610939979553223,0.0,0.048921216279268265,5.57218271524107e-10,0.9597180415941692,1.0,0.9836118817329407,0.6668614745140076,0.0,0.8500000238418579,1.0,0.050742458552122116
44,q5_insulating_frameworks,WeightedSum,0.00012499999968440534,0.8807624578475952,0.8877611756324768,0.0,0.03194258362054825,6.288553011657427e-10,1.0,1.0,1.0,0.7398297190666199,0.0,0.8500000238418579,1.0,0.09199531376361847
44,q5_insulating_frameworks,LEA,133.88654099999897,0.8786234855651855,0.8877611756324768,0.0,0.15009835362434387,6.118722195580517e-10,0.9972824154821434,1.0,0.98603755235672,0.776848316192627,0.0,0.800000011920929,1.0,0.15423955023288727
44,q5_insulating_frameworks,GraphSAGE-only,0.022208000000745187,0.8676360249519348,0.8875277042388916,0.0,0.08754713833332062,5.819306703180871e-10,0.970918199221518,1.0,0.9968555569648743,0.6865954399108887,0.0,0.8500000238418579,1.0,0.0754261165857315
44,q5_insulating_frameworks,LEA + GraphSAGE,107.83804100000083,0.8786234855651855,0.8877611756324768,0.0,0.15009835362434387,6.118722195580517e-10,0.9976779358113965,1.0,0.98603755235672,0.776848316192627,0.0,0.800000011920929,1.0,0.15423956513404846
44,q5_insulating_frameworks,GAT-only,0.020541999999679206,0.8564527630805969,0.8637645840644836,0.0,0.05782619118690491,5.491470611573845e-10,0.9606221287980039,1.0,0.9875640869140625,0.6547679305076599,0.0,0.8500000238418579,1.0,0.054529715329408646
44,q5_insulating_frameworks,LEA + GAT,79.7374590000004,0.8788745999336243,0.8877611756324768,0.0,0.12186920642852783,5.987181306288392e-10,0.9979262383478009,1.0,1.0,0.7494301795959473,0.0,0.800000011920929,1.0,0.12599457800388336
