seed,query_id,variant,runtime_ms
46,q3_lightweight_storage,LEA baseline,132.61595800000237
46,q3_lightweight_storage,LEA no diversity,126.29224999999877
46,q3_lightweight_storage,LEA no balance,85.17337500000366
46,q3_lightweight_storage,LEA no self-cleaning,84.34024999999679
46,q3_lightweight_storage,LEA pop20,56.70333399999805
46,q3_lightweight_storage,LEA pop50,141.85412499999472
46,q3_lightweight_storage,LEA pop100,290.5281249999945
46,q3_lightweight_storage,LEA iter20,28.93445800000194
46,q3_lightweight_storage,LEA iter40,59.157249999998385
46,q3_lightweight_storage,LEA iter100,144.11329099999648
46,q3_lightweight_storage,LEA pool50,130.15308300000328
46,q3_lightweight_storage,LEA pool200,166.83216700000258
46,q4_balanced_discovery,SemanticOnly,0.05820799999867177
46,q4_balanced_discovery,WeightedSum,0.08779200000219589
46,q4_balanced_discovery,MMR,1.8127080000027718
46,q4_balanced_discovery,RandomRepeated,0.0607079999994653
46,q4_balanced_discovery,LEA baseline,126.4124170000045
46,q4_balanced_discovery,LEA no diversity,141.36204100000072
46,q4_balanced_discovery,LEA no balance,84.69304200000494
46,q4_balanced_discovery,LEA no self-cleaning,85.15650000000363
46,q4_balanced_discovery,LEA pop20,57.20341600000012
46,q4_balanced_discovery,LEA pop50,140.91958399999527
46,q4_balanced_discovery,LEA pop100,280.22787500000135
46,q4_balanced_discovery,LEA iter20,27.672041999998953
46,q4_balanced_discovery,LEA iter40,59.91445899999803
46,q4_balanced_discovery,LEA iter100,151.83279200000044
46,q4_balanced_discovery,LEA pool50,150.8721659999992
46,q4_balanced_discovery,LEA pool200,149.3885000000006
46,q5_insulating_frameworks,SemanticOnly,0.04837499999865713
46,q5_insulating_frameworks,WeightedSum,0.08787500000551063
46,q5_insulating_frameworks,MMR,2.1259999999969637
46,q5_insulating_frameworks,RandomRepeated,0.06529200000215951
46,q5_insulating_frameworks,LEA baseline,122.65791699999795
46,q5_insulating_frameworks,LEA no diversity,136.0769590000004
46,q5_insulating_frameworks,LEA no balance,86.21087499999902
46,q5_insulating_frameworks,LEA no self-cleaning,85.94050000000664
46,q5_insulating_frameworks,LEA pop20,56.67925000000196
46,q5_insulating_frameworks,LEA pop50,142.53304100000008
46,q5_insulating_frameworks,LEA pop100,284.6335830000015
46,q5_insulating_frameworks,LEA iter20,30.893208000001948
46,q5_insulating_frameworks,LEA iter40,60.63300000000282
