seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,unique_at_5,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,missing_band_gap_top5,catalog_coverage,top_k_stability_vs_pool100,retrieval_time_ms,reranking_time_ms,total_runtime_ms
49,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,86.82595899998091,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,86.82595899998091,86.82595899998091
49,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,97.76616700000318,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,97.76616700000318,97.76616700000318
50,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,75.70670800001267,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,75.70670800001267,75.70670800001267
50,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,83.53458299998806,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,83.53458299998806,83.53458299998806
50,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,101.753666999997,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,101.753666999997,101.753666999997
51,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,78.87429100000531,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,78.87429100000531,78.87429100000531
51,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,86.71033400000283,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,86.71033400000283,86.71033400000283
51,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,100.98479200001975,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,100.98479200001975,100.98479200001975
42,q3_lightweight_storage,lightweight gas storage MOFs with low density,LEA,50,78.47229099999709,0.9173960253168174,0.9173960253168174,0.8824679809149691,0.0209541588865916,1.0,0.0192232620764162,1.0,0.7285714285714285,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,78.47229099999709,78.47229099999709
42,q3_lightweight_storage,lightweight gas storage MOFs with low density,LEA,100,83.07625000000485,0.9173960253168174,0.9173960253168174,0.8824679809149691,0.0209541588865916,1.0,0.0192232620764162,1.0,0.7285714285714285,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,83.07625000000485,83.07625000000485
