record_type,seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,missing_band_gap_top5,unique_top_k_candidates,candidate_coverage,top_k_stability,retrieval_time_ms,reranking_time_ms,total_runtime_ms
candidate_pool_sensitivity,44,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,106.1452499999973,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,106.1452499999973,106.1452499999973
candidate_pool_sensitivity,44,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,115.26458400000195,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,115.26458400000195,115.26458400000195
candidate_pool_sensitivity,44,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,109.39849999999751,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,109.39849999999751,109.39849999999751
candidate_pool_sensitivity,45,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,83.90683399999688,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,83.90683399999688,83.90683399999688
candidate_pool_sensitivity,45,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,90.6073749999976,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,90.6073749999976,90.6073749999976
candidate_pool_sensitivity,45,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,105.34874999999744,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,105.34874999999744,105.34874999999744
candidate_pool_sensitivity,46,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,89.20329200000054,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,89.20329200000054,89.20329200000054
candidate_pool_sensitivity,46,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,96.69587500000176,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,96.69587500000176,96.69587500000176
candidate_pool_sensitivity,46,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,123.53712500000569,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,123.53712500000569,123.53712500000569
candidate_pool_sensitivity,47,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,83.53466700000212,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,83.53466700000212,83.53466700000212
